Jméno,Funkce,Strana,
JUDr. Jaroslava Janderová,místopředsedkyně,ODS,zastupitel
JUDr. Ivan Hrůza,člen,KSČM,zastupitel
"RNDr. Tomáš Hudeček, Ph.D.",člen,TOP 09 a nezávislých,zastupitel
Mgr. Bc. Jakub Michálek,člen,Piráti,zastupitel
"Mgr. Ondřej Mirovský, M.EM",člen,"TROJKOALICE SZ, KDU-ČSL, STAN",zastupitel
Ing. Patrik Nacher,člen,ANO 2011,zastupitel
JUDr. Petr Novotný,člen,ANO 2011,zastupitel
Jan Slezák,člen,ČSSD,zastupitel
JUDr. Milada Huspeková,tajemnice,,zaměstnanec
